
[INFO]: hdss/main.cpp:30 (main):  	dsize = 1141729

[INFO]: hdss/main.cpp:32 (main):  	data size = 26557961

[INFO]: hdss/main.cpp:34 (main):  	max emb num = 342518

[INFO]: hdss/main.cpp:36 (main):  	batch_size = 1

[INFO]: hdss/main.cpp:38 (main):  	k_size = 8

[INFO]: hdss/main.cpp:79 (main):  	read id time = 13.3705 s
[INFO]: hdss/main.cpp:80 (main):  	zero-th epoch time = 94.0343 s
[INFO]: hdss/main.cpp:81 (main):  	train time = 187.457 s
[INFO]: hdss/main.cpp:82 (main):  	compaction time = 9.355 s
[INFO]: hdss/main.cpp:83 (main):  	total time = 305.122 s
[INFO]: hdss/main.cpp:84 (main):  	total hit rate = 72.4275 %
