
[INFO]: hdss/main.cpp:30 (main):  	dsize = 1141729

[INFO]: hdss/main.cpp:32 (main):  	data size = 26557961

[INFO]: hdss/main.cpp:34 (main):  	max emb num = 456691

[INFO]: hdss/main.cpp:36 (main):  	batch_size = 1

[INFO]: hdss/main.cpp:38 (main):  	k_size = 8

[INFO]: hdss/main.cpp:79 (main):  	read id time = 13.3726 s
[INFO]: hdss/main.cpp:80 (main):  	zero-th epoch time = 68.287 s
[INFO]: hdss/main.cpp:81 (main):  	train time = 129.174 s
[INFO]: hdss/main.cpp:82 (main):  	compaction time = 7.2213 s
[INFO]: hdss/main.cpp:83 (main):  	total time = 218.983 s
[INFO]: hdss/main.cpp:84 (main):  	total hit rate = 86.0647 %
